Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,cluster
"Alat Tulis Umum (Kantor/Sekolah);Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Novel Fiksi",Toko buku independen lainnya,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan","Bermain game (offline/online);Melukis atau menggambar;Menulis (diari, blog, atau lainnya)",Kesehatan dan Kecantikan,Setuju,Sangat Setuju,Setuju,Netral,2
Novel Fiksi;Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online);Bermain musik;Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Tidak Setuju,Netral,Sangat Setuju,Tidak Setuju,2
"Alat Tulis Umum (Kantor/Sekolah);Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Komik/Novel Grafis",Website Gramedia.com,Kado atau hadiah,Belanja online/offline,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Netral,Sangat Setuju,Tidak Setuju,1
"Alat Musik;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain musik,"Alat Musik & kesenian;Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,3
Jurnal/Perencana (Planner),Toko buku independen lainnya,Hiburan atau relaksasi;Menambah pengetahuan,Melukis atau menggambar;Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Kesehatan dan Kecantikan",Sangat Setuju,Netral,Netral,Tidak Setuju,1
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Jurnal/Perencana (Planner);Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi;Olahraga,Alat Olahraga,Netral,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,3
"Alat Olahraga;Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik;Olahraga,"Alat Musik & kesenian;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Kesehatan dan Kecantikan",Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju,4
Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,"Menghadiri acara budaya atau edukasi;Menulis (diari, blog, atau lainnya);Olahraga","Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Sangat Tidak Setuju,Tidak Setuju,Netral,4
Alat Musik;Mainan/Collectible item;Perlengkapan Kantor atau Sekolah,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas","Bermain game (offline/online);Bermain musik;Menulis (diari, blog, atau lainnya)",Kesehatan dan Kecantikan;Mainan,Sangat Tidak Setuju,Tidak Setuju,Netral,Netral,3
Alat Olahraga;Alat Tulis Umum (Kantor/Sekolah),Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain musik;Menghadiri acara budaya atau edukasi,Alat Tulis kantor atau sekolah,Tidak Setuju,Sangat Tidak Setuju,Setuju,Setuju,3
Jurnal/Perencana (Planner),"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Melukis atau menggambar,"Alat Musik & kesenian;Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,1
Alat Tulis Umum (Kantor/Sekolah),Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri",Menghadiri acara budaya atau edukasi;Travelling,Kesehatan dan Kecantikan;Mainan,Tidak Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju,2
Komik/Novel Grafis;Novel Fiksi,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Menghadiri acara budaya atau edukasi,"Alat Olahraga;Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,5
Alat Musik;Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,Alat Musik & kesenian;Kesehatan dan Kecantikan,Netral,Sangat Setuju,Setuju,Tidak Setuju,4
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi;Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya);Travelling","Buku fiksi (novel, komik, buku anak)",Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,2
Buku Anak,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline,Kesehatan dan Kecantikan,Netral,Tidak Setuju,Setuju,Setuju,5
Jurnal/Perencana (Planner);Mainan/Collectible item;Novel Fiksi,Toko Gramedia,Untuk mengekspresikan kreativitas,Melukis atau menggambar,"Buku fiksi (novel, komik, buku anak);Kesehatan dan Kecantikan",Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju,2
Alat Tulis Umum (Kantor/Sekolah);Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar;Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Mainan",Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Setuju,3
"Alat Olahraga;Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Novel Fiksi",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline;Bermain game (offline/online),Alat Olahraga;Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Netral,Setuju,Sangat Setuju,3
Alat Olahraga;Buku Anak;Mainan/Collectible item,Toko alat tulis lainnya,Menambah pengetahuan,"Menghadiri acara budaya atau edukasi;Menulis (diari, blog, atau lainnya);Olahraga","Alat Tulis kantor atau sekolah;Buku fiksi (novel, komik, buku anak);Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju,2
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Setuju,Sangat Setuju,Netral,2
Alat Musik,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Membaca buku atau majalah;Menghadiri acara budaya atau edukasi,"Alat Musik & kesenian;Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Netral,Sangat Setuju,Sangat Setuju,2
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),Kado atau hadiah;Untuk mengekspresikan kreativitas,Bermain game (offline/online);Bermain musik;Menghadiri acara budaya atau edukasi,Alat Tulis kantor atau sekolah,Sangat Setuju,Netral,Netral,Netral,1
Alat Musik,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,"Bermain game (offline/online);Membaca buku atau majalah;Menulis (diari, blog, atau lainnya)","Alat Olahraga;Buku fiksi (novel, komik, buku anak)",Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral,5
Alat Musik;Novel Fiksi;Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi;Kado atau hadiah,Bermain game (offline/online);Olahraga,Kesehatan dan Kecantikan,Sangat Setuju,Tidak Setuju,Netral,Netral,5
Alat Musik;Jurnal/Perencana (Planner);Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah,"Alat Tulis kantor atau sekolah;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Mainan",Sangat Tidak Setuju,Setuju,Setuju,Sangat Tidak Setuju,1
Alat Musik;Buku Anak,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Untuk mengekspresikan kreativitas",Bermain musik;Membaca buku atau majalah,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Sangat Tidak Setuju,Sangat Setuju,Netral,Sangat Setuju,3
Alat Musik;Alat Tulis Umum (Kantor/Sekolah);Novel Fiksi,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline;Membaca buku atau majalah;Menghadiri acara budaya atau edukasi,"Alat Tulis kantor atau sekolah;Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Netral,Setuju,Setuju,1
Alat Olahraga;Mainan/Collectible item,Toko alat tulis lainnya,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline;Bermain game (offline/online);Travelling,"Buku fiksi (novel, komik, buku anak);Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Tidak Setuju,Setuju,Tidak Setuju,Setuju,2
"Alat Musik;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Olahraga,"Alat Musik & kesenian;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Netral,Setuju,Sangat Setuju,1
"Alat Olahraga;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Komik/Novel Grafis",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,Alat Musik & kesenian;Alat Tulis kantor atau sekolah;Mainan,Sangat Tidak Setuju,Setuju,Sangat Setuju,Netral,4
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,Kesehatan dan Kecantikan,Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju,1
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Untuk mengekspresikan kreativitas",Bermain musik;Melukis atau menggambar,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Kesehatan dan Kecantikan;Mainan",Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju,2
"Buku Anak;Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Hiburan atau relaksasi;Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik;Melukis atau menggambar;Membaca buku atau majalah,"Alat Tulis kantor atau sekolah;Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju,1
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Novel Fiksi",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya);Travelling","Alat Musik & kesenian;Buku fiksi (novel, komik, buku anak);Mainan",Setuju,Sangat Setuju,Tidak Setuju,Setuju,4
Komik/Novel Grafis;Novel Fiksi,Website Gramedia.com,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain game (offline/online),Alat Musik & kesenian;Kesehatan dan Kecantikan,Netral,Setuju,Sangat Tidak Setuju,Tidak Setuju,5
Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik;Menghadiri acara budaya atau edukasi;Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku fiksi (novel, komik, buku anak);Kesehatan dan Kecantikan",Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,0
Mainan/Collectible item,Website Gramedia.com,Hiburan atau relaksasi;Kado atau hadiah;Untuk mengekspresikan kreativitas,"Membaca buku atau majalah;Menghadiri acara budaya atau edukasi;Menulis (diari, blog, atau lainnya)",Alat Olahraga,Tidak Setuju,Sangat Setuju,Tidak Setuju,Netral,4
"Alat Olahraga;Buku Anak;Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Melukis atau menggambar,"Alat Musik & kesenian;Alat Olahraga;Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Netral,Setuju,Setuju,1
Alat Olahraga,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Melukis atau menggambar,Alat Olahraga;Mainan,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,0
"Alat Olahraga;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online),"Alat Olahraga;Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral,4
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Komik/Novel Grafis;Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Hiburan atau relaksasi;Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak);Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,4
Buku Anak;Jurnal/Perencana (Planner),Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,Bermain musik;Melukis atau menggambar,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Mainan",Netral,Netral,Setuju,Setuju,1
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Komik/Novel Grafis;Novel Fiksi",Toko alat tulis lainnya,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas","Bermain game (offline/online);Menulis (diari, blog, atau lainnya);Olahraga","Buku fiksi (novel, komik, buku anak)",Setuju,Tidak Setuju,Setuju,Netral,5
Buku Anak,Toko alat tulis lainnya,"Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain game (offline/online);Menulis (diari, blog, atau lainnya);Olahraga","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,2
Alat Olahraga,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Melukis atau menggambar,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Setuju,Netral,Sangat Tidak Setuju,0
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline;Menghadiri acara budaya atau edukasi,"Alat Tulis kantor atau sekolah;Buku fiksi (novel, komik, buku anak);Mainan",Setuju,Tidak Setuju,Setuju,Setuju,1
Perlengkapan Seni/Kreatif,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Membaca buku atau majalah;Travelling,"Buku fiksi (novel, komik, buku anak);Kesehatan dan Kecantikan;Mainan",Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,2
Novel Fiksi,Toko alat tulis lainnya,Menambah pengetahuan,Bermain game (offline/online);Melukis atau menggambar;Membaca buku atau majalah,"Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,0
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Menambah pengetahuan,Belanja online/offline,Alat Musik & kesenian,Netral,Tidak Setuju,Tidak Setuju,Tidak Setuju,4
"Alat Musik;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,"Bermain game (offline/online);Membaca buku atau majalah;Menulis (diari, blog, atau lainnya)","Alat Tulis kantor atau sekolah;Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Setuju,Setuju,Netral,5
Alat Olahraga;Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,Alat Musik & kesenian;Alat Olahraga,Setuju,Sangat Setuju,Netral,Netral,4
Alat Musik;Buku Anak;Jurnal/Perencana (Planner),Toko alat tulis lainnya,Kado atau hadiah;Menambah pengetahuan,Belanja online/offline;Bermain musik;Travelling,Alat Olahraga;Alat Tulis kantor atau sekolah;Kesehatan dan Kecantikan,Sangat Setuju,Setuju,Setuju,Sangat Tidak Setuju,1
Alat Olahraga;Komik/Novel Grafis,Website Gramedia.com,Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi,Mainan,Setuju,Netral,Tidak Setuju,Tidak Setuju,2
Mainan/Collectible item,Aplikasi Gramedia.com,Menambah pengetahuan;Untuk mengekspresikan kreativitas,Bermain game (offline/online);Bermain musik;Membaca buku atau majalah,"Alat Tulis kantor atau sekolah;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Kesehatan dan Kecantikan",Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,0
Buku Anak;Komik/Novel Grafis;Perlengkapan Seni/Kreatif,Toko Gramedia,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain musik;Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Kesehatan dan Kecantikan;Mainan",Sangat Tidak Setuju,Setuju,Netral,Netral,3
"Alat Olahraga;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Novel Fiksi",Website Gramedia.com,Hiburan atau relaksasi;Kado atau hadiah;Menambah pengetahuan,Membaca buku atau majalah,"Buku fiksi (novel, komik, buku anak);Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju,5
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Belanja online/offline;Melukis atau menggambar,Alat Musik & kesenian;Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Netral,Tidak Setuju,Sangat Setuju,3
Alat Musik;Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Olahraga,"Alat Tulis kantor atau sekolah;Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Tidak Setuju,Tidak Setuju,Netral,4
"Alat Tulis Umum (Kantor/Sekolah);Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi;Untuk mengekspresikan kreativitas,Melukis atau menggambar,"Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Setuju,Setuju,Sangat Setuju,Setuju,2
"Alat Musik;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Perlengkapan Kantor atau Sekolah",Website Gramedia.com,Hiburan atau relaksasi,"Melukis atau menggambar;Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian;Kesehatan dan Kecantikan,Netral,Sangat Setuju,Setuju,Netral,4
Alat Tulis Umum (Kantor/Sekolah);Komik/Novel Grafis,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,Mainan,Tidak Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju,1
"Alat Olahraga;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,2
Jurnal/Perencana (Planner),Toko alat tulis lainnya,Hiburan atau relaksasi;Kado atau hadiah;Sebagai bentuk 'self-reward' atau apresiasi diri,"Menghadiri acara budaya atau edukasi;Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian;Alat Tulis kantor atau sekolah;Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral,2
Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Menghadiri acara budaya atau edukasi,"Alat Tulis kantor atau sekolah;Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju,2
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),Kado atau hadiah;Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya);Olahraga;Travelling","Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,5
Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah;Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online);Olahraga,Alat Olahraga,Tidak Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju,0
Alat Tulis Umum (Kantor/Sekolah);Perlengkapan Kantor atau Sekolah;Perlengkapan Seni/Kreatif,Toko buku independen lainnya,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online);Melukis atau menggambar;Menulis (diari, blog, atau lainnya)",Alat Tulis kantor atau sekolah;Mainan,Netral,Sangat Tidak Setuju,Setuju,Tidak Setuju,2
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Mainan/Collectible item;Perlengkapan Seni/Kreatif",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,4
"Alat Musik;Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Hiburan atau relaksasi;Kado atau hadiah;Sebagai bentuk 'self-reward' atau apresiasi diri,Olahraga,"Alat Tulis kantor atau sekolah;Buku fiksi (novel, komik, buku anak);Mainan",Netral,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,5
Mainan/Collectible item;Novel Fiksi;Perlengkapan Kantor atau Sekolah,Website Gramedia.com,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya)","Alat Olahraga;Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Setuju,Sangat Setuju,Tidak Setuju,2
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Komik/Novel Grafis",Website Gramedia.com,Hiburan atau relaksasi;Kado atau hadiah;Sebagai bentuk 'self-reward' atau apresiasi diri,Membaca buku atau majalah;Menghadiri acara budaya atau edukasi,"Alat Olahraga;Buku fiksi (novel, komik, buku anak);Kesehatan dan Kecantikan",Setuju,Tidak Setuju,Sangat Setuju,Netral,2
"Alat Musik;Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Novel Fiksi",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik,"Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Setuju,Netral,Tidak Setuju,3
Alat Musik;Buku Anak,Website Gramedia.com,Menambah pengetahuan;Untuk mengekspresikan kreativitas,Bermain game (offline/online);Melukis atau menggambar;Menghadiri acara budaya atau edukasi,"Alat Musik & kesenian;Alat Olahraga;Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,Netral,4
Alat Musik;Buku Anak;Perlengkapan Seni/Kreatif,Toko buku independen lainnya,Hiburan atau relaksasi;Kado atau hadiah,Bermain game (offline/online);Menghadiri acara budaya atau edukasi,Alat Musik & kesenian;Alat Tulis kantor atau sekolah;Mainan,Netral,Netral,Tidak Setuju,Tidak Setuju,1
"Alat Tulis Umum (Kantor/Sekolah);Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline;Bermain musik;Melukis atau menggambar,"Alat Musik & kesenian;Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju,2
