Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat
Edukasi,Toko Gramedia,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Olahraga, Bermain musik",Self Wear
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,"Travelling, Olahraga, Bermain musik",edukasi
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Toko buku independen lainnya,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah , Travelling, Olahraga",Self Wear
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner)",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,"Melukis atau menggambar , Belanja online/offline, Menghadiri acara budaya atau edukasi","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga, Kesehatan dan Kecantikan"
"Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,"Melukis atau menggambar , Membaca buku atau majalah , Bermain musik",Self Wear
"Jurnal/Perencana (Planner), Novel Fiksi",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Menambah pengetahuan",Aktivitas Rekreasional,edukasi
Alat Kantor/Sekolah,Toko Gramedia,Menambah pengetahuan,"Menulis (diari, blog, atau lainnya), Travelling","Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak)"
Buku Anak,Toko Gramedia,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah",Seni,edukasi
Edukasi,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,"Melukis atau menggambar , Menghadiri acara budaya atau edukasi, Belanja online/offline","Alat Musik & kesenian, Kesehatan dan Kecantikan"
"Alat Olahraga, Komik/Novel Grafis",Website Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline, Travelling","Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak), Alat Olahraga"
"Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Melukis atau menggambar , Bermain game (offline/online), Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
Buku Anak,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Olahraga, Bermain game (offline/online), Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian, Alat Tulis kantor atau sekolah"
Sport & mainanan,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi",Aktivitas Rekreasional,edukasi
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Kado atau hadiah","Melukis atau menggambar , Menghadiri acara budaya atau edukasi",edukasi
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Bermain musik, Membaca buku atau majalah",Alat Seni
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Toko buku independen lainnya,Kado atau hadiah,Lifestyle,Self Wear
Edukasi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Bermain musik, Menulis (diari, blog, atau lainnya), Travelling",edukasi
"Perlengkapan Kantor atau Sekolah, Alat Olahraga, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi
"Novel Fiksi, Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Melukis atau menggambar , Membaca buku atau majalah , Bermain musik","Alat Olahraga, Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan"
Sport & mainanan,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Bermain game (offline/online), Menulis (diari, blog, atau lainnya)",Alat Seni
"Buku Anak, Mainan/Collectible item, Komik/Novel Grafis",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear
"Alat Musik, Perlengkapan Kantor atau Sekolah, Novel Fiksi",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,"Kesehatan dan Kecantikan, Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko Gramedia,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Lifestyle,"Alat Olahraga, Alat Musik & kesenian"
"Mainan/Collectible item, Buku Anak",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Belanja online/offline, Travelling",Alat Seni
"Komik/Novel Grafis, Mainan/Collectible item",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Seni,Self Wear
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia.com,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain musik, Travelling, Menghadiri acara budaya atau edukasi","Buku non-fiksi (pengembangan diri, sejarah, agama), Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
Sport & mainanan,Toko Gramedia,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online), Belanja online/offline",Self Wear
Edukasi,Aplikasi Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Menghadiri acara budaya atau edukasi",Daily needs
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Seni,edukasi
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain musik, Menghadiri acara budaya atau edukasi",edukasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif, Mainan/Collectible item",Website Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional,Daily needs
"Perlengkapan Seni/Kreatif, Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Kado atau hadiah,Literasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Kesehatan dan Kecantikan"
"Jurnal/Perencana (Planner), Alat Olahraga",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Bermain musik","Mainan, Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Olahraga"
Alat Seni,Toko buku independen lainnya,Kado atau hadiah,"Belanja online/offline, Bermain musik, Melukis atau menggambar","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian"
Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Menulis (diari, blog, atau lainnya), Membaca buku atau majalah",edukasi
Buku Anak,Toko buku independen lainnya,Hiburan atau relaksasi,"Melukis atau menggambar , Olahraga",edukasi
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Bermain musik, Olahraga","Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
Novel Fiksi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Bermain game (offline/online)","Alat Olahraga, Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Musik, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas",Literasi,edukasi
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah , Travelling, Melukis atau menggambar","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian"
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle,"Alat Olahraga, Mainan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
Edukasi,Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Menambah pengetahuan","Membaca buku atau majalah , Travelling","Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Olahraga"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas","Travelling, Menghadiri acara budaya atau edukasi","Mainan, Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,Menambah pengetahuan,"Menghadiri acara budaya atau edukasi, Olahraga","Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Buku Non-Fiksi,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,"Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Seni,"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak)"
Komik,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Belanja online/offline",edukasi
"Perlengkapan Seni/Kreatif, Novel Fiksi, Mainan/Collectible item",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Belanja online/offline, Melukis atau menggambar","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,"Kesehatan dan Kecantikan, Alat Tulis kantor atau sekolah"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah), Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Travelling, Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)",edukasi
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Website Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Olahraga","Alat Tulis kantor atau sekolah, Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Seni,edukasi
"Perlengkapan Seni/Kreatif, Alat Musik, Alat Olahraga",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Bermain game (offline/online), Olahraga","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku non-fiksi (pengembangan diri, sejarah, agama)"
Alat Seni,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,"Bermain game (offline/online), Travelling","Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Alat Kantor/Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain game (offline/online), Olahraga, Bermain musik","Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)",Toko Gramedia,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,"Alat Tulis kantor atau sekolah, Mainan, Alat Olahraga"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Melukis atau menggambar , Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Tulis kantor atau sekolah"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Belanja online/offline, Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian, Kesehatan dan Kecantikan, Alat Tulis kantor atau sekolah"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Literasi,"Kesehatan dan Kecantikan, Mainan, Alat Tulis kantor atau sekolah"
Buku Non-Fiksi,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Seni,"Alat Musik & kesenian, Kesehatan dan Kecantikan"
"Perlengkapan Seni/Kreatif, Alat Olahraga",Toko alat tulis lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan",Lifestyle,Daily needs
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Melukis atau menggambar , Belanja online/offline","Alat Musik & kesenian, Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
"Jurnal/Perencana (Planner), Alat Musik, Alat Olahraga",Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Belanja online/offline",Self Wear
Novel Fiksi,Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Alat Seni
Edukasi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Belanja online/offline",Self Wear
"Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline, Menulis (diari, blog, atau lainnya)","Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama), Buku fiksi (novel, komik, buku anak)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Menulis (diari, blog, atau lainnya), Travelling",Self Wear
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Seni,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Kesehatan dan Kecantikan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik",Toko Gramedia,Hiburan atau relaksasi,"Melukis atau menggambar , Travelling","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Tulis kantor atau sekolah"
"Alat Olahraga, Buku Anak, Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Bermain game (offline/online), Belanja online/offline","Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan"
"Jurnal/Perencana (Planner), Alat Olahraga",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Bermain musik, Membaca buku atau majalah , Bermain game (offline/online)",edukasi
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah, Buku Anak",Toko Gramedia,Hiburan atau relaksasi,"Melukis atau menggambar , Menghadiri acara budaya atau edukasi, Membaca buku atau majalah","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak), Alat Olahraga"
"Novel Fiksi, Perlengkapan Seni/Kreatif",Toko Gramedia,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian, Alat Olahraga"
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Olahraga, Membaca buku atau majalah",Daily needs
"Perlengkapan Kantor atau Sekolah, Buku Anak",Aplikasi Gramedia.com,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi","Buku fiksi (novel, komik, buku anak), Alat Olahraga"
"Alat Olahraga, Mainan/Collectible item, Novel Fiksi",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya), Olahraga",edukasi
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Hiburan atau relaksasi",Literasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak)"
"Komik/Novel Grafis, Novel Fiksi, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Lifestyle,Self Wear
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Belanja online/offline, Travelling, Olahraga",edukasi
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Alat Musik",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,"Membaca buku atau majalah , Olahraga",edukasi
Sport & mainanan,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Lifestyle,Daily needs
Novel Fiksi,Toko alat tulis lainnya,Hiburan atau relaksasi,"Melukis atau menggambar , Bermain musik",edukasi
"Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Menambah pengetahuan",Aktivitas Rekreasional,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
Alat Kantor/Sekolah,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,"Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)","Mainan, Alat Musik & kesenian, Alat Tulis kantor atau sekolah"
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya), Bermain musik","Alat Olahraga, Alat Musik & kesenian, Kesehatan dan Kecantikan"
"Alat Olahraga, Komik/Novel Grafis",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Melukis atau menggambar , Bermain musik","Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Kesehatan dan Kecantikan"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah",edukasi
"Alat Olahraga, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Seni,"Buku fiksi (novel, komik, buku anak), Mainan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner), Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Melukis atau menggambar , Menulis (diari, blog, atau lainnya), Travelling","Kesehatan dan Kecantikan, Mainan"
"Alat Musik, Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Bermain game (offline/online)","Mainan, Kesehatan dan Kecantikan, Alat Tulis kantor atau sekolah"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar , Olahraga, Belanja online/offline","Alat Musik & kesenian, Kesehatan dan Kecantikan"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item, Buku Anak",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah",Aktivitas Rekreasional,Self Wear
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,"Bermain musik, Belanja online/offline, Travelling",Daily needs
"Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Bermain game (offline/online)",Alat Seni
Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya), Travelling","Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Olahraga, Komik/Novel Grafis",Website Gramedia.com,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Melukis atau menggambar","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Tulis kantor atau sekolah"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,Menambah pengetahuan,"Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah, Alat Olahraga"
"Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,"Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Anak, Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Belanja online/offline, Bermain musik","Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan, Alat Musik & kesenian"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Alat Musik",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,"Melukis atau menggambar , Belanja online/offline, Bermain game (offline/online)",edukasi
