Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Seni,edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Self Wear,Tidak Setuju,Netral,Sangat Setuju,Setuju
Novel Fiksi,Toko buku independen lainnya,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle; Literasi,Self Wear,Sangat Tidak Setuju,Setuju,Setuju,Netral
Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Self Wear; edukasi,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi; Seni,Alat Seni; Self Wear,Netral,Tidak Setuju,Setuju,Sangat Setuju
Komik,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi; Seni,edukasi,Sangat Setuju,Setuju,Tidak Setuju,Sangat Setuju
Komik,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Aktivitas Rekreasional,Self Wear; edukasi,Tidak Setuju,Tidak Setuju,Netral,Netral
Komik,Aplikasi Gramedia.com,Kado atau hadiah; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Lifestyle; Literasi; Seni,Self Wear; edukasi,Netral,Tidak Setuju,Setuju,Tidak Setuju
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi; Kado atau hadiah; Menambah pengetahuan,Literasi; Seni,Self Wear,Tidak Setuju,Sangat Setuju,Tidak Setuju,Setuju
Alat Kantor/Sekolah; Sport & mainanan,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Seni,Alat Seni,Tidak Setuju,Tidak Setuju,Sangat Setuju,Netral
Sport & mainanan,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle; Literasi,Daily needs; Self Wear; edukasi,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju
Alat Seni; Buku Non-Fiksi; Sport & mainanan,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Seni,edukasi,Sangat Tidak Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Seni; Novel Fiksi,Aplikasi Gramedia Digital (ebook),Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Lifestyle; Literasi,Daily needs; edukasi,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Seni; Edukasi,Toko Gramedia,Hiburan atau relaksasi,Seni,edukasi,Setuju,Setuju,Sangat Setuju,Netral
Alat Kantor/Sekolah; Sport & mainanan,Website Gramedia.com,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,Alat Seni; Self Wear; edukasi,Sangat Setuju,Setuju,Tidak Setuju,Netral
Alat Seni; Komik,Toko alat tulis lainnya,Hiburan atau relaksasi; Kado atau hadiah; Menambah pengetahuan,Aktivitas Rekreasional; Lifestyle,edukasi,Tidak Setuju,Tidak Setuju,Sangat Setuju,Setuju
Buku Anak; Edukasi; Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Literasi,Self Wear; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
Alat Seni; Komik; Novel Fiksi,Toko alat tulis lainnya,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle,Daily needs; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju
Edukasi,Aplikasi Gramedia.com,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Lifestyle; Literasi,Daily needs; Self Wear; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
Sport & mainanan,Toko buku independen lainnya,Hiburan atau relaksasi; Kado atau hadiah,Aktivitas Rekreasional; Seni,Self Wear; edukasi,Tidak Setuju,Setuju,Netral,Netral
Alat Kantor/Sekolah; Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Seni,Self Wear,Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju
Komik,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Alat Seni; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
Komik,Toko alat tulis lainnya,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Seni,Self Wear,Sangat Tidak Setuju,Setuju,Sangat Setuju,Netral
Edukasi; Sport & mainanan,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle; Seni,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Edukasi,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Seni,edukasi,Sangat Setuju,Sangat Tidak Setuju,Setuju,Tidak Setuju
Alat Kantor/Sekolah; Buku Anak; Buku Non-Fiksi,Website Gramedia.com,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Literasi,Daily needs; Self Wear; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral
Buku Non-Fiksi; Novel Fiksi; Sport & mainanan,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,Daily needs; edukasi,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
Edukasi; Sport & mainanan,Website Gramedia.com,Kado atau hadiah; Menambah pengetahuan,Literasi,Daily needs; Self Wear,Setuju,Netral,Netral,Sangat Tidak Setuju
Sport & mainanan,Toko buku independen lainnya,Menambah pengetahuan,Aktivitas Rekreasional,Self Wear; edukasi,Sangat Setuju,Sangat Setuju,Tidak Setuju,Netral
Buku Anak,Toko buku independen lainnya,Hiburan atau relaksasi; Menambah pengetahuan,Aktivitas Rekreasional; Lifestyle; Seni,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Setuju,Sangat Setuju
Alat Seni,Toko buku independen lainnya,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Seni,Alat Seni; Self Wear; edukasi,Sangat Setuju,Setuju,Netral,Setuju
Alat Kantor/Sekolah,Toko alat tulis lainnya,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi; Seni,edukasi,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
Alat Kantor/Sekolah; Alat Seni; Buku Anak,Toko buku independen lainnya,Menambah pengetahuan,Seni,Self Wear,Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Buku Non-Fiksi; Sport & mainanan,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Literasi,Self Wear; edukasi,Netral,Sangat Setuju,Netral,Tidak Setuju
Sport & mainanan,Aplikasi Gramedia Digital (ebook),Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle,Self Wear,Sangat Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Buku Anak,Toko Gramedia,Untuk mengekspresikan kreativitas,Lifestyle; Seni,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju
Buku Anak; Edukasi; Novel Fiksi,Toko Gramedia,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,Daily needs; Self Wear; edukasi,Tidak Setuju,Tidak Setuju,Setuju,Netral
Alat Seni; Sport & mainanan,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Lifestyle,Alat Seni,Setuju,Tidak Setuju,Sangat Setuju,Setuju
Alat Kantor/Sekolah; Komik,Toko Gramedia,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear; edukasi,Netral,Sangat Tidak Setuju,Tidak Setuju,Netral
Sport & mainanan,Aplikasi Gramedia.com,"Hiburan atau relaksasi; Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle; Seni,Self Wear; edukasi,Sangat Tidak Setuju,Netral,Sangat Setuju,Tidak Setuju
Edukasi; Sport & mainanan,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle,Alat Seni; Self Wear; edukasi,Tidak Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi,Toko alat tulis lainnya,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Lifestyle; Seni,Self Wear,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Edukasi,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle; Seni,Daily needs; Self Wear; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Novel Fiksi,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Kado atau hadiah,Aktivitas Rekreasional; Lifestyle,Daily needs; Self Wear; edukasi,Sangat Setuju,Netral,Setuju,Sangat Tidak Setuju
Alat Seni; Sport & mainanan,Toko buku independen lainnya,Kado atau hadiah,Lifestyle,Self Wear; edukasi,Tidak Setuju,Setuju,Setuju,Tidak Setuju
Alat Kantor/Sekolah; Buku Anak,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Literasi,Alat Seni; edukasi,Netral,Netral,Netral,Sangat Setuju
Alat Kantor/Sekolah; Buku Anak; Edukasi,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle; Literasi,Self Wear,Setuju,Netral,Netral,Sangat Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Self Wear; edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
Sport & mainanan,Toko buku independen lainnya,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Seni,Daily needs,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Lifestyle; Seni,Self Wear,Sangat Tidak Setuju,Setuju,Setuju,Netral
Buku Non-Fiksi; Edukasi; Sport & mainanan,Toko buku independen lainnya,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Literasi; Seni,Alat Seni; Self Wear,Sangat Tidak Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,Alat Seni; edukasi,Tidak Setuju,Tidak Setuju,Setuju,Sangat Setuju
Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Seni,Self Wear,Setuju,Sangat Setuju,Netral,Tidak Setuju
Alat Kantor/Sekolah,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Daily needs,Tidak Setuju,Sangat Setuju,Netral,Sangat Setuju
Alat Kantor/Sekolah; Novel Fiksi,Toko alat tulis lainnya,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,edukasi,Tidak Setuju,Netral,Setuju,Setuju
Sport & mainanan,Toko alat tulis lainnya,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle; Seni,Daily needs; Self Wear; edukasi,Sangat Tidak Setuju,Setuju,Setuju,Netral
Alat Kantor/Sekolah; Sport & mainanan,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle,Daily needs; Self Wear,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Toko buku independen lainnya,Kado atau hadiah,Aktivitas Rekreasional; Seni,Self Wear,Setuju,Tidak Setuju,Tidak Setuju,Setuju
Sport & mainanan,Website Gramedia.com,Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear; edukasi,Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia.com,Kado atau hadiah,Literasi,Alat Seni; Self Wear,Netral,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah,Toko Gramedia,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear; edukasi,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
Novel Fiksi; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Lifestyle; Seni,Self Wear; edukasi,Setuju,Sangat Setuju,Netral,Tidak Setuju
Alat Kantor/Sekolah; Edukasi; Komik,Aplikasi Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Self Wear,Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi,Toko buku independen lainnya,Kado atau hadiah; Menambah pengetahuan,Seni,Alat Seni; Self Wear,Netral,Tidak Setuju,Setuju,Netral
Alat Kantor/Sekolah; Alat Seni; Buku Anak,Aplikasi Gramedia.com,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Self Wear; edukasi,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle; Literasi; Seni,Self Wear,Setuju,Tidak Setuju,Netral,Setuju
Buku Non-Fiksi; Sport & mainanan,Aplikasi Gramedia.com,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Lifestyle; Literasi,Alat Seni; Self Wear; edukasi,Sangat Setuju,Netral,Tidak Setuju,Setuju
Buku Non-Fiksi; Edukasi,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Self Wear,Netral,Sangat Tidak Setuju,Tidak Setuju,Setuju
Edukasi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Seni; Buku Anak,Toko buku independen lainnya,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Lifestyle; Literasi,edukasi,Netral,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Komik,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,Self Wear; edukasi,Setuju,Netral,Sangat Setuju,Setuju
Alat Kantor/Sekolah; Edukasi; Sport & mainanan,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Seni,Self Wear; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Seni,Aplikasi Gramedia.com,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle; Literasi,Alat Seni; Self Wear,Tidak Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju
Edukasi; Sport & mainanan,Aplikasi Gramedia.com,Kado atau hadiah; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Seni,Alat Seni; Self Wear,Sangat Setuju,Tidak Setuju,Sangat Setuju,Setuju
Alat Seni,Toko buku independen lainnya,Menambah pengetahuan,Aktivitas Rekreasional; Lifestyle,Self Wear; edukasi,Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral
Alat Seni,Toko alat tulis lainnya,Kado atau hadiah; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear; edukasi,Netral,Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Seni; Buku Anak; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle; Literasi,Self Wear,Sangat Setuju,Netral,Netral,Setuju
Alat Seni; Komik; Sport & mainanan,Toko Gramedia,Untuk mengekspresikan kreativitas,Literasi; Seni,edukasi,Sangat Setuju,Sangat Setuju,Tidak Setuju,Setuju
Sport & mainanan,Toko Gramedia,Kado atau hadiah; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Alat Seni; Self Wear; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral
Alat Kantor/Sekolah; Komik; Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Self Wear,Setuju,Tidak Setuju,Sangat Tidak Setuju,Setuju
Buku Anak,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Lifestyle; Literasi,Alat Seni; Self Wear,Setuju,Netral,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah; Buku Anak,Website Gramedia.com,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Lifestyle; Literasi; Seni,Alat Seni; edukasi,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,Netral
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Literasi; Seni,Daily needs; edukasi,Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju
Alat Kantor/Sekolah; Sport & mainanan,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Alat Seni,Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Self Wear,Tidak Setuju,Sangat Setuju,Tidak Setuju,Setuju
Alat Kantor/Sekolah; Novel Fiksi,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Daily needs; edukasi,Netral,Setuju,Sangat Tidak Setuju,Setuju
Novel Fiksi,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Literasi,Self Wear; edukasi,Netral,Tidak Setuju,Netral,Setuju
Alat Kantor/Sekolah; Sport & mainanan,Toko Gramedia,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear; edukasi,Netral,Netral,Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Literasi; Seni,Daily needs,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
Alat Kantor/Sekolah; Buku Non-Fiksi,Aplikasi Gramedia.com,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Seni,Daily needs; Self Wear; edukasi,Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju
Komik; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi; Seni,Daily needs; edukasi,Sangat Tidak Setuju,Setuju,Netral,Setuju
Alat Kantor/Sekolah; Buku Anak,Toko buku independen lainnya,Kado atau hadiah; Menambah pengetahuan,Lifestyle,edukasi,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Seni; Edukasi; Sport & mainanan,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi; Seni,Self Wear; edukasi,Setuju,Sangat Setuju,Sangat Setuju,Setuju
Sport & mainanan,Toko buku independen lainnya,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Lifestyle,Alat Seni; Daily needs; Self Wear,Tidak Setuju,Setuju,Sangat Setuju,Tidak Setuju
Edukasi,Toko alat tulis lainnya,"Hiburan atau relaksasi; Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi; Seni,Daily needs,Sangat Setuju,Setuju,Sangat Setuju,Tidak Setuju
Alat Seni; Sport & mainanan,Toko Gramedia,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,Alat Seni; Daily needs; Self Wear,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju
Buku Anak,Toko alat tulis lainnya,Hiburan atau relaksasi; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Daily needs; Self Wear,Sangat Setuju,Setuju,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi; Seni,Daily needs,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Literasi,Self Wear,Sangat Tidak Setuju,Netral,Netral,Setuju
Edukasi,Toko buku independen lainnya,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Seni,Daily needs; Self Wear,Netral,Netral,Netral,Setuju
Alat Kantor/Sekolah; Edukasi,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle; Literasi,Alat Seni; Self Wear,Setuju,Netral,Sangat Tidak Setuju,Tidak Setuju
Alat Seni,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Seni,edukasi,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Setuju
Alat Seni,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
Alat Kantor/Sekolah; Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,Self Wear; edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Seni,Alat Seni; Self Wear,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
Novel Fiksi,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Seni,Self Wear; edukasi,Sangat Setuju,Netral,Netral,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Edukasi,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi; Seni,Alat Seni; edukasi,Sangat Setuju,Setuju,Sangat Tidak Setuju,Setuju
