ID,Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
9656,Novel Fiksi,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Olahraga,Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Tidak Setuju
9657,Alat Olahraga,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling,Mainan,Setuju,Tidak Setuju,Sangat Setuju,Setuju
9658,Alat Musik,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Membaca buku atau majalah,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Netral,Netral,Tidak Setuju
9659,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,Alat Olahraga,Netral,Netral,Setuju,Sangat Setuju
9660,Jurnal/Perencana (Planner),Toko Gramedia,Untuk mengekspresikan kreativitas,Bermain game (offline/online),"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
9661,Buku Anak,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju
9662,Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Hiburan atau relaksasi,Menghadiri acara budaya atau edukasi,Kesehatan dan Kecantikan,Tidak Setuju,Tidak Setuju,Netral,Netral
9663,Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Setuju,Setuju,Netral
9664,Alat Tulis Umum (Kantor/Sekolah),Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi,Kesehatan dan Kecantikan,Tidak Setuju,Tidak Setuju,Setuju,Setuju
9665,Novel Fiksi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Sangat Tidak Setuju,Netral,Netral
9666,Buku Anak,Toko Gramedia,Hiburan atau relaksasi,Olahraga,"Buku fiksi (novel, komik, buku anak)",Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
9667,Alat Olahraga,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,Alat Musik & kesenian,Sangat Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
9668,Alat Musik,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,"Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Setuju,Netral,Netral
9669,Novel Fiksi,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Netral,Tidak Setuju,Setuju
9670,Novel Fiksi,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,Alat Tulis kantor atau sekolah,Sangat Setuju,Tidak Setuju,Tidak Setuju,Netral
9671,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,Kesehatan dan Kecantikan,Sangat Setuju,Netral,Tidak Setuju,Netral
9672,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga,Alat Olahraga,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju
9673,Perlengkapan Seni/Kreatif,Toko buku independen lainnya,Hiburan atau relaksasi,Olahraga,Mainan,Tidak Setuju,Sangat Setuju,Sangat Setuju,Netral
9674,Komik/Novel Grafis,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Membaca buku atau majalah,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Tidak Setuju,Tidak Setuju,Netral
9675,Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Olahraga,Alat Musik & kesenian,Sangat Tidak Setuju,Sangat Setuju,Netral,Sangat Setuju
9676,Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online),Alat Olahraga,Sangat Tidak Setuju,Netral,Netral,Sangat Setuju
9677,Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,"Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian,Sangat Tidak Setuju,Tidak Setuju,Setuju,Tidak Setuju
9678,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Untuk mengekspresikan kreativitas,Olahraga,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Setuju,Netral,Sangat Setuju
9679,Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Belanja online/offline,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Setuju,Sangat Setuju,Setuju
9680,Komik/Novel Grafis,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Travelling,"Buku fiksi (novel, komik, buku anak)",Setuju,Netral,Netral,Sangat Setuju
9681,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Membaca buku atau majalah,Alat Musik & kesenian,Tidak Setuju,Setuju,Sangat Setuju,Tidak Setuju
9682,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah,Alat Musik & kesenian,Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
9683,Perlengkapan Seni/Kreatif,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik,Kesehatan dan Kecantikan,Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
9684,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Belanja online/offline,Mainan,Sangat Tidak Setuju,Netral,Tidak Setuju,Sangat Setuju
9685,Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Netral,Setuju,Setuju
9686,Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Bermain musik,"Buku fiksi (novel, komik, buku anak)",Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral
9687,Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Setuju,Netral,Sangat Setuju
9688,Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju
9689,Alat Olahraga,Toko alat tulis lainnya,Kado atau hadiah,Olahraga,Alat Musik & kesenian,Sangat Setuju,Tidak Setuju,Sangat Setuju,Netral
9690,Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Melukis atau menggambar,Mainan,Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
9691,Perlengkapan Kantor atau Sekolah,Website Gramedia.com,Menambah pengetahuan,Melukis atau menggambar,Kesehatan dan Kecantikan,Tidak Setuju,Setuju,Netral,Sangat Tidak Setuju
9692,Jurnal/Perencana (Planner),"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik,Alat Musik & kesenian,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
9693,Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Melukis atau menggambar,Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Netral,Sangat Setuju,Tidak Setuju
9694,Buku Anak,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,"Buku fiksi (novel, komik, buku anak)",Setuju,Netral,Sangat Tidak Setuju,Setuju
9695,Alat Musik,Toko alat tulis lainnya,Kado atau hadiah,Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak)",Setuju,Netral,Tidak Setuju,Setuju
9696,Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling,"Buku fiksi (novel, komik, buku anak)",Setuju,Netral,Setuju,Sangat Tidak Setuju
9697,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Kado atau hadiah,Membaca buku atau majalah,Alat Musik & kesenian,Sangat Tidak Setuju,Setuju,Netral,Tidak Setuju
9698,Novel Fiksi,Toko Gramedia,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Netral,Netral,Sangat Tidak Setuju
9699,Alat Olahraga,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju
9700,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,Alat Musik & kesenian,Netral,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
9701,Buku Anak,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah,Kesehatan dan Kecantikan,Sangat Tidak Setuju,Setuju,Setuju,Setuju
9702,Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,Mainan,Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
9703,Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,Menambah pengetahuan,Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Tidak Setuju,Setuju,Netral
9704,Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Belanja online/offline,Alat Musik & kesenian,Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
9705,Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,Hiburan atau relaksasi,Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
9706,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Setuju,Netral,Setuju
9707,Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,"Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Setuju,Setuju,Setuju
9708,Alat Musik,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,Alat Musik & kesenian,Tidak Setuju,Netral,Tidak Setuju,Netral
9709,Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online),"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Sangat Setuju,Netral,Tidak Setuju
9710,Buku Anak,Toko alat tulis lainnya,Menambah pengetahuan,Belanja online/offline,Alat Olahraga,Netral,Netral,Tidak Setuju,Setuju
9711,Buku Anak,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah,Alat Tulis kantor atau sekolah,Tidak Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
9712,Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar,Kesehatan dan Kecantikan,Sangat Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
9713,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju
9714,Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,Alat Musik & kesenian,Tidak Setuju,Netral,Setuju,Netral
9715,Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Membaca buku atau majalah,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
9716,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Hiburan atau relaksasi,Menghadiri acara budaya atau edukasi,Alat Olahraga,Netral,Tidak Setuju,Setuju,Netral
9717,Alat Musik,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Netral,Setuju,Sangat Tidak Setuju
9718,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Kado atau hadiah,Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Setuju,Sangat Setuju,Tidak Setuju
9719,Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Travelling,Mainan,Setuju,Setuju,Tidak Setuju,Tidak Setuju
9720,Komik/Novel Grafis,Toko Gramedia,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya)",Alat Tulis kantor atau sekolah,Setuju,Sangat Setuju,Sangat Setuju,Netral
9721,Alat Musik,Website Gramedia.com,Kado atau hadiah,Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
9722,Alat Tulis Umum (Kantor/Sekolah),Website Gramedia.com,Hiburan atau relaksasi,Olahraga,"Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
9723,Mainan/Collectible item,Toko alat tulis lainnya,Kado atau hadiah,Melukis atau menggambar,Mainan,Sangat Tidak Setuju,Sangat Setuju,Setuju,Tidak Setuju
9724,Mainan/Collectible item,Website Gramedia.com,Untuk mengekspresikan kreativitas,Travelling,Alat Musik & kesenian,Tidak Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju
9725,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Bermain game (offline/online),Kesehatan dan Kecantikan,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
9726,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,"Buku fiksi (novel, komik, buku anak)",Netral,Setuju,Sangat Setuju,Netral
9727,Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju
9728,Novel Fiksi,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline,Alat Musik & kesenian,Setuju,Sangat Setuju,Tidak Setuju,Setuju
9729,Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Bermain musik,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Setuju,Tidak Setuju,Netral
9730,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Untuk mengekspresikan kreativitas,Travelling,Alat Tulis kantor atau sekolah,Sangat Setuju,Netral,Setuju,Netral
9731,Perlengkapan Seni/Kreatif,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah,Alat Musik & kesenian,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
9732,Novel Fiksi,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,"Buku fiksi (novel, komik, buku anak)",Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju
9733,Alat Olahraga,Toko Gramedia,Hiburan atau relaksasi,Bermain musik,Mainan,Tidak Setuju,Netral,Setuju,Tidak Setuju
9734,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,Menambah pengetahuan,Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Sangat Setuju,Setuju,Netral
9735,Alat Olahraga,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Olahraga,Mainan,Netral,Setuju,Tidak Setuju,Setuju
9736,Perlengkapan Seni/Kreatif,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga,Alat Musik & kesenian,Setuju,Setuju,Sangat Setuju,Sangat Setuju
9737,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Sangat Tidak Setuju,Setuju,Netral
9738,Alat Olahraga,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Membaca buku atau majalah,Alat Tulis kantor atau sekolah,Netral,Setuju,Sangat Setuju,Tidak Setuju
9739,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga,"Buku fiksi (novel, komik, buku anak)",Setuju,Netral,Setuju,Tidak Setuju
9740,Mainan/Collectible item,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi,Alat Musik & kesenian,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
9741,Mainan/Collectible item,Toko buku independen lainnya,Kado atau hadiah,Bermain game (offline/online),Alat Tulis kantor atau sekolah,Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju
9742,Jurnal/Perencana (Planner),Toko Gramedia,Hiburan atau relaksasi,Melukis atau menggambar,Alat Tulis kantor atau sekolah,Tidak Setuju,Netral,Sangat Tidak Setuju,Setuju
9743,Alat Tulis Umum (Kantor/Sekolah),Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Sangat Setuju,Netral,Sangat Tidak Setuju
9744,Mainan/Collectible item,Toko Gramedia,Kado atau hadiah,Menghadiri acara budaya atau edukasi,"Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
9745,Alat Tulis Umum (Kantor/Sekolah),Website Gramedia.com,Hiburan atau relaksasi,Belanja online/offline,Kesehatan dan Kecantikan,Tidak Setuju,Netral,Sangat Tidak Setuju,Setuju
9746,Perlengkapan Seni/Kreatif,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Membaca buku atau majalah,Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Netral
9747,Alat Olahraga,Website Gramedia.com,Menambah pengetahuan,Membaca buku atau majalah,Mainan,Sangat Setuju,Netral,Sangat Tidak Setuju,Netral
9748,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
9749,Jurnal/Perencana (Planner),Toko buku independen lainnya,Hiburan atau relaksasi,Bermain musik,Mainan,Tidak Setuju,Sangat Setuju,Tidak Setuju,Netral
9750,Mainan/Collectible item,Toko buku independen lainnya,Kado atau hadiah,Melukis atau menggambar,Mainan,Netral,Sangat Tidak Setuju,Netral,Tidak Setuju
9751,Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar,Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Netral,Setuju,Sangat Tidak Setuju
9752,Alat Olahraga,Toko Gramedia,Menambah pengetahuan,Olahraga,Alat Tulis kantor atau sekolah,Netral,Netral,Sangat Tidak Setuju,Netral
9753,Buku Anak,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),Alat Musik & kesenian,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju
9754,Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline,Alat Musik & kesenian,Setuju,Setuju,Sangat Setuju,Tidak Setuju
9755,Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,Alat Musik & kesenian,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
9756,Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga,Alat Musik & kesenian,Netral,Sangat Tidak Setuju,Sangat Setuju,Netral
9757,Komik/Novel Grafis,Aplikasi Gramedia.com,Kado atau hadiah,Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Sangat Setuju,Netral,Setuju
9758,Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online),Alat Tulis kantor atau sekolah,Tidak Setuju,Tidak Setuju,Netral,Setuju
9759,Jurnal/Perencana (Planner),Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian,Setuju,Netral,Netral,Sangat Setuju
9760,Perlengkapan Seni/Kreatif,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik,Alat Musik & kesenian,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Setuju
9761,Novel Fiksi,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju
9762,Alat Olahraga,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Melukis atau menggambar,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Tidak Setuju,Sangat Tidak Setuju,Setuju
9763,Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Belanja online/offline,Alat Olahraga,Sangat Setuju,Netral,Setuju,Netral
9764,Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),Alat Tulis kantor atau sekolah,Tidak Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju
9765,Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,Alat Olahraga,Tidak Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju
9766,Alat Olahraga,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
9767,Komik/Novel Grafis,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
9768,Alat Olahraga,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,Alat Musik & kesenian,Sangat Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
9769,Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Setuju,Tidak Setuju,Tidak Setuju
9770,Novel Fiksi,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,Alat Tulis kantor atau sekolah,Netral,Netral,Setuju,Sangat Setuju
9771,Jurnal/Perencana (Planner),Toko Gramedia,Untuk mengekspresikan kreativitas,Membaca buku atau majalah,Mainan,Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
9772,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Membaca buku atau majalah,Alat Tulis kantor atau sekolah,Setuju,Setuju,Sangat Setuju,Netral
9773,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Hiburan atau relaksasi,Bermain musik,Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Setuju
