Produk sering beli,Saluran belanja,Motivasi utama pembelian
Jurnal/Perencana (Planner),"Toko buku independen lainnya, Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Buku Anak,"Toko alat tulis lainnya, Toko buku independen lainnya","Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko alat tulis lainnya, Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi
"Alat Olahraga, Komik/Novel Grafis","Website Gramedia.com, Toko alat tulis lainnya, Toko buku independen lainnya","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Menambah pengetahuan"
"Jurnal/Perencana (Planner), Buku Anak","Toko buku independen lainnya, Aplikasi Gramedia.com, Toko alat tulis lainnya",Untuk mengekspresikan kreativitas
Buku Anak,"Website Gramedia.com, Toko buku independen lainnya, Toko alat tulis lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya, Aplikasi Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga","Toko Gramedia, Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah, Menambah pengetahuan"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya",Menambah pengetahuan
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah, Mainan/Collectible item","Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook)",Menambah pengetahuan
"Perlengkapan Kantor atau Sekolah, Alat Olahraga, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Novel Fiksi, Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
Mainan/Collectible item,"Website Gramedia.com, Toko Gramedia","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Buku Anak, Mainan/Collectible item, Komik/Novel Grafis","Toko Gramedia, Website Gramedia.com, Aplikasi Gramedia.com","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Alat Musik, Perlengkapan Kantor atau Sekolah, Novel Fiksi",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Mainan/Collectible item, Jurnal/Perencana (Planner)","Aplikasi Gramedia.com, Website Gramedia.com, Toko Gramedia",Kado atau hadiah
"Mainan/Collectible item, Buku Anak","Toko alat tulis lainnya, Aplikasi Gramedia.com, Website Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Mainan/Collectible item","Toko Gramedia, Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook)",Menambah pengetahuan
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Alat Olahraga,"Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com",Untuk mengekspresikan kreativitas
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook)","Kado atau hadiah, Hiburan atau relaksasi"
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif","Aplikasi Gramedia.com, Toko buku independen lainnya, Toko Gramedia",Hiburan atau relaksasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif, Mainan/Collectible item","Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya",Sebagai bentuk 'self-reward' atau apresiasi diri
"Perlengkapan Seni/Kreatif, Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Jurnal/Perencana (Planner), Alat Olahraga",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Perlengkapan Seni/Kreatif,"Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan
Alat Tulis Umum (Kantor/Sekolah),"Toko alat tulis lainnya, Website Gramedia.com",Hiburan atau relaksasi
Buku Anak,"Toko buku independen lainnya, Toko alat tulis lainnya, Aplikasi Gramedia.com",Untuk mengekspresikan kreativitas
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya, Toko alat tulis lainnya","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Novel Fiksi,Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Alat Musik, Perlengkapan Kantor atau Sekolah","Website Gramedia.com, Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook)",Hiburan atau relaksasi
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif",Website Gramedia.com,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kado atau hadiah"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)","Toko Gramedia, Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya",Untuk mengekspresikan kreativitas
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah)","Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Website Gramedia.com, Toko alat tulis lainnya","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)","Toko alat tulis lainnya, Aplikasi Gramedia.com, Toko Gramedia","Menambah pengetahuan, Kado atau hadiah"
Komik/Novel Grafis,"Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya",Hiburan atau relaksasi
"Perlengkapan Seni/Kreatif, Novel Fiksi, Mainan/Collectible item",Toko Gramedia,Kado atau hadiah
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia.com,Kado atau hadiah
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah), Buku Anak","Toko Gramedia, Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik","Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
Buku Anak,"Aplikasi Gramedia.com, Toko Gramedia, Toko alat tulis lainnya","Menambah pengetahuan, Hiburan atau relaksasi"
"Perlengkapan Seni/Kreatif, Alat Musik, Alat Olahraga","Website Gramedia.com, Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri
Alat Musik,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas
Perlengkapan Kantor atau Sekolah,"Website Gramedia.com, Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)","Aplikasi Gramedia Digital (ebook), Toko Gramedia, Aplikasi Gramedia.com",Untuk mengekspresikan kreativitas
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Website Gramedia.com,Menambah pengetahuan
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Anak","Aplikasi Gramedia.com, Toko alat tulis lainnya, Toko buku independen lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
"Perlengkapan Seni/Kreatif, Alat Olahraga",Toko buku independen lainnya,Untuk mengekspresikan kreativitas
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis","Aplikasi Gramedia Digital (ebook), Website Gramedia.com",Kado atau hadiah
"Jurnal/Perencana (Planner), Alat Musik, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya, Website Gramedia.com",Hiburan atau relaksasi
Novel Fiksi,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Aplikasi Gramedia Digital (ebook), Toko Gramedia","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)","Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah","Aplikasi Gramedia.com, Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya","Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik","Aplikasi Gramedia Digital (ebook), Toko Gramedia","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Olahraga, Buku Anak, Perlengkapan Kantor atau Sekolah","Toko buku independen lainnya, Website Gramedia.com",Menambah pengetahuan
"Jurnal/Perencana (Planner), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia",Untuk mengekspresikan kreativitas
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah, Buku Anak",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Novel Fiksi, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia, Toko buku independen lainnya","Hiburan atau relaksasi, Menambah pengetahuan"
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Buku Anak","Toko alat tulis lainnya, Website Gramedia.com, Aplikasi Gramedia Digital (ebook)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Mainan/Collectible item, Novel Fiksi",Website Gramedia.com,Hiburan atau relaksasi
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Perlengkapan Kantor atau Sekolah","Toko alat tulis lainnya, Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Komik/Novel Grafis, Novel Fiksi, Perlengkapan Kantor atau Sekolah","Toko alat tulis lainnya, Toko Gramedia, Website Gramedia.com","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Alat Musik","Aplikasi Gramedia.com, Toko Gramedia, Toko buku independen lainnya","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Mainan/Collectible item,Toko Gramedia,Menambah pengetahuan
Novel Fiksi,Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia",Menambah pengetahuan
Alat Tulis Umum (Kantor/Sekolah),"Toko alat tulis lainnya, Website Gramedia.com, Aplikasi Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya",Sebagai bentuk 'self-reward' atau apresiasi diri
"Alat Olahraga, Komik/Novel Grafis","Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya, Aplikasi Gramedia.com","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Alat Olahraga, Novel Fiksi","Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya",Kado atau hadiah
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner), Komik/Novel Grafis","Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Menambah pengetahuan"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia, Toko buku independen lainnya","Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Alat Musik, Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif","Toko alat tulis lainnya, Toko buku independen lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item, Buku Anak","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia",Untuk mengekspresikan kreativitas
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis, Mainan/Collectible item","Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook)","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
"Jurnal/Perencana (Planner), Buku Anak","Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Buku Anak,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Hiburan atau relaksasi"
"Alat Olahraga, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah, Menambah pengetahuan"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Website Gramedia.com,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)","Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia.com","Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Buku Anak, Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Website Gramedia.com, Aplikasi Gramedia.com, Toko buku independen lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Alat Musik","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Website Gramedia.com, Toko Gramedia, Toko buku independen lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Novel Fiksi, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)","Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya",Untuk mengekspresikan kreativitas
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
Jurnal/Perencana (Planner),Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Jurnal/Perencana (Planner), Buku Anak","Toko buku independen lainnya, Aplikasi Gramedia.com, Website Gramedia.com","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Menambah pengetahuan"
Novel Fiksi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Mainan/Collectible item","Toko alat tulis lainnya, Aplikasi Gramedia.com, Website Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)","Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia","Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Mainan/Collectible item,"Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Novel Fiksi,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Alat Tulis Umum (Kantor/Sekolah)","Toko Gramedia, Aplikasi Gramedia.com, Toko alat tulis lainnya","Kado atau hadiah, Hiburan atau relaksasi, Menambah pengetahuan"
"Mainan/Collectible item, Komik/Novel Grafis",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Perlengkapan Seni/Kreatif, Buku Anak","Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com, Toko buku independen lainnya","Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Jurnal/Perencana (Planner),"Website Gramedia.com, Toko Gramedia, Aplikasi Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Alat Olahraga, Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko Gramedia, Website Gramedia.com, Aplikasi Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi","Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko buku independen lainnya, Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kado atau hadiah"
"Buku Anak, Novel Fiksi, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga","Aplikasi Gramedia.com, Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook)","Hiburan atau relaksasi, Kado atau hadiah"
Perlengkapan Seni/Kreatif,Toko Gramedia,Untuk mengekspresikan kreativitas
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Website Gramedia.com, Toko alat tulis lainnya","Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko buku independen lainnya, Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Komik/Novel Grafis","Toko alat tulis lainnya, Aplikasi Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
Perlengkapan Seni/Kreatif,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Alat Olahraga,"Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya",Menambah pengetahuan
"Mainan/Collectible item, Buku Anak","Aplikasi Gramedia.com, Toko alat tulis lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko Gramedia, Aplikasi Gramedia.com, Website Gramedia.com","Kado atau hadiah, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Mainan/Collectible item, Alat Musik, Alat Olahraga","Website Gramedia.com, Aplikasi Gramedia.com, Toko Gramedia","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik","Toko Gramedia, Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item","Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya","Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Hiburan atau relaksasi"
