Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi
Perlengkapan Seni/Kreatif,Toko buku independen lainnya,Kado atau hadiah,"Belanja online/offline, Bermain musik, Melukis atau menggambar "
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Menulis (diari, blog, atau lainnya), Membaca buku atau majalah "
Buku Anak,Toko buku independen lainnya,Hiburan atau relaksasi,"Melukis atau menggambar , Olahraga"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Bermain musik, Olahraga"
Novel Fiksi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Bermain game (offline/online)"
"Alat Musik, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah , Travelling, Melukis atau menggambar "
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Menambah pengetahuan","Membaca buku atau majalah , Travelling"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas","Travelling, Menghadiri acara budaya atau edukasi"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,Menambah pengetahuan,"Menghadiri acara budaya atau edukasi, Olahraga"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Travelling
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Melukis atau menggambar 
Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Belanja online/offline"
"Perlengkapan Seni/Kreatif, Novel Fiksi, Mainan/Collectible item",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Belanja online/offline, Melukis atau menggambar "
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri",Olahraga
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah), Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Travelling, Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Website Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Olahraga"
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar 
"Perlengkapan Seni/Kreatif, Alat Musik, Alat Olahraga",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Bermain game (offline/online), Olahraga"
Alat Musik,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,"Bermain game (offline/online), Travelling"
Perlengkapan Kantor atau Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain game (offline/online), Olahraga, Bermain musik"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)",Toko Gramedia,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Olahraga
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Melukis atau menggambar , Bermain game (offline/online)"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Belanja online/offline, Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Membaca buku atau majalah 
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Melukis atau menggambar 
"Perlengkapan Seni/Kreatif, Alat Olahraga",Toko alat tulis lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan",Belanja online/offline
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Melukis atau menggambar , Belanja online/offline"
"Jurnal/Perencana (Planner), Alat Musik, Alat Olahraga",Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Belanja online/offline"
Novel Fiksi,Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Belanja online/offline"
"Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline, Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Menulis (diari, blog, atau lainnya), Travelling"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain musik
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik",Toko Gramedia,Hiburan atau relaksasi,"Melukis atau menggambar , Travelling"
"Alat Olahraga, Buku Anak, Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Bermain game (offline/online), Belanja online/offline"
"Jurnal/Perencana (Planner), Alat Olahraga",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Bermain musik, Membaca buku atau majalah , Bermain game (offline/online)"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah, Buku Anak",Toko Gramedia,Hiburan atau relaksasi,"Melukis atau menggambar , Menghadiri acara budaya atau edukasi, Membaca buku atau majalah "
"Novel Fiksi, Perlengkapan Seni/Kreatif",Toko Gramedia,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Olahraga, Membaca buku atau majalah "
"Perlengkapan Kantor atau Sekolah, Buku Anak",Aplikasi Gramedia.com,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi"
"Alat Olahraga, Mainan/Collectible item, Novel Fiksi",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya), Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Hiburan atau relaksasi",Membaca buku atau majalah 
"Komik/Novel Grafis, Novel Fiksi, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Belanja online/offline
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Belanja online/offline, Travelling, Olahraga"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Alat Musik",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,"Membaca buku atau majalah , Olahraga"
Mainan/Collectible item,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Belanja online/offline
Novel Fiksi,Toko alat tulis lainnya,Hiburan atau relaksasi,"Melukis atau menggambar , Bermain musik"
"Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Menambah pengetahuan",Bermain game (offline/online)
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Untuk mengekspresikan kreativitas,"Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)"
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya), Bermain musik"
"Alat Olahraga, Komik/Novel Grafis",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Melukis atau menggambar , Bermain musik"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah "
"Alat Olahraga, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Melukis atau menggambar 
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner), Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Bermain game (offline/online)"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Melukis atau menggambar , Menulis (diari, blog, atau lainnya), Travelling"
"Alat Musik, Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Bermain game (offline/online)"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar , Olahraga, Belanja online/offline"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item, Buku Anak",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah",Olahraga
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,"Bermain musik, Belanja online/offline, Travelling"
"Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Bermain game (offline/online)"
Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya), Travelling"
"Alat Olahraga, Komik/Novel Grafis",Website Gramedia.com,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Melukis atau menggambar "
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,Menambah pengetahuan,"Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling
"Buku Anak, Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Belanja online/offline, Bermain musik"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Alat Musik",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,"Melukis atau menggambar , Belanja online/offline, Bermain game (offline/online)"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Menulis (diari, blog, atau lainnya), Melukis atau menggambar "
"Novel Fiksi, Buku Anak",Toko buku independen lainnya,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Hiburan atau relaksasi","Bermain game (offline/online), Melukis atau menggambar "
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Toko alat tulis lainnya,Kado atau hadiah,Bermain game (offline/online)
Jurnal/Perencana (Planner),Website Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling
"Jurnal/Perencana (Planner), Buku Anak",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Bermain game (offline/online), Membaca buku atau majalah "
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Membaca buku atau majalah , Bermain game (offline/online)"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri",Travelling
Novel Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Mainan/Collectible item",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online), Olahraga"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah "
"Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline
Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar 
Novel Fiksi,Aplikasi Gramedia.com,"Hiburan atau relaksasi, Menambah pengetahuan","Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Bermain game (offline/online), Olahraga"
"Mainan/Collectible item, Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Untuk mengekspresikan kreativitas","Belanja online/offline, Travelling, Bermain game (offline/online)"
"Perlengkapan Seni/Kreatif, Buku Anak",Toko alat tulis lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Melukis atau menggambar "
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah",Melukis atau menggambar 
Jurnal/Perencana (Planner),Website Gramedia.com,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online)
"Alat Olahraga, Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi, Bermain game (offline/online)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi",Toko buku independen lainnya,Kado atau hadiah,Membaca buku atau majalah 
"Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya), Membaca buku atau majalah "
"Buku Anak, Novel Fiksi, Mainan/Collectible item",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline
"Perlengkapan Kantor atau Sekolah, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Belanja online/offline"
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Menambah pengetahuan","Olahraga, Menghadiri acara budaya atau edukasi"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Menulis (diari, blog, atau lainnya), Melukis atau menggambar "
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Menambah pengetahuan,Membaca buku atau majalah 
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)"
Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik
Alat Olahraga,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Bermain musik
"Mainan/Collectible item, Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar , Bermain musik"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi, Perlengkapan Seni/Kreatif",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,"Travelling, Bermain musik"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Toko alat tulis lainnya,Menambah pengetahuan,Bermain game (offline/online)
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Belanja online/offline"
"Mainan/Collectible item, Alat Musik, Alat Olahraga",Toko buku independen lainnya,Kado atau hadiah,"Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar 
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Travelling, Bermain musik"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Belanja online/offline
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Bermain musik, Travelling, Melukis atau menggambar "
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,"Menghadiri acara budaya atau edukasi, Membaca buku atau majalah , Melukis atau menggambar "
"Perlengkapan Seni/Kreatif, Buku Anak",Website Gramedia.com,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya)"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Novel Fiksi",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Travelling, Belanja online/offline"
"Mainan/Collectible item, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Bermain game (offline/online)"
"Komik/Novel Grafis, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Belanja online/offline, Travelling"
"Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko Gramedia,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah",Membaca buku atau majalah 
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga",Toko alat tulis lainnya,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Menghadiri acara budaya atau edukasi, Bermain game (offline/online)"
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Menghadiri acara budaya atau edukasi, Belanja online/offline"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif, Alat Musik",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Olahraga, Belanja online/offline, Travelling"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,"Membaca buku atau majalah , Melukis atau menggambar "
"Komik/Novel Grafis, Alat Olahraga, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Menambah pengetahuan","Bermain musik, Belanja online/offline"
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Belanja online/offline, Bermain musik"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,Menambah pengetahuan,"Bermain musik, Olahraga, Bermain game (offline/online)"
